GEOID,total_sales,median_price,median_SF
47187050305,2,9170622.5,9198.0
47187050306,5,4516148.0,8193.0
47187050403,3,1575000.0,3951.0
47187050404,2,3300762.0,5969.0
47187050405,42,1397450.0,3495.0
47187050406,8,1491950.0,4379.0
47187050502,27,732033.0,2996.0
47187050503,48,598950.0,2537.0
47187050504,26,442362.0,2073.0
47187050601,9,1014575.0,3894.0
47187050604,74,1248361.0,2767.0
47187050702,9,2356686.0,4587.0
47187050801,29,1009240.0,3605.0
47187050802,5,2425000.0,4506.0
47187050905,1,565000.0,2072.0
47187050908,14,1484109.0,4171.0
47187050909,27,1045072.0,2897.0
47187051001,12,2068741.5,4436.5
47187051002,83,1165000.0,4025.0
47187051100,124,2327979.0,4771.0
47187051203,26,1246070.0,3187.0
47187051204,93,835000.0,3095.0
47187051205,119,705977.0,3024.0
47187051206,3,494000.0,2114.0
47187051207,28,563185.5,2600.0
47187051208,29,885000.0,3334.0
47189030102,89,376317.0,1832.0
47189030103,25,671777.0,2956.0
47189030104,28,730362.5,3276.5
47189030105,32,474990.0,2641.0
47189030202,139,510000.0,2315.0
47189030203,21,705000.0,2679.0
47189030205,15,999999.0,4020.0
47189030206,42,472495.0,2265.0
47189030207,6,657500.0,2886.5
47189030303,6,1150000.0,3076.5
47189030304,5,639950.0,3274.0
47189030308,2,734450.0,3313.0
47189030309,24,584500.0,2627.0
47189030310,21,700000.0,2965.0
47189030311,33,589040.0,2614.0
47189030401,1,373000.0,1655.0
47189030402,2,322000.0,1430.0
47189030500,56,382490.0,1863.0
47189030600,3,369900.0,1583.0
47189030700,15,367000.0,2197.0
47189030800,4,513750.0,2339.0
47189030904,16,606000.0,2592.5
47189030905,54,507495.0,2264.5
47189030906,15,1100000.0,3619.0
47189030907,53,473800.0,2364.0
47189030908,25,679990.0,3107.0
47189031000,31,597777.0,2564.0
